GREY,SALOON,2490,2015,11,1620,BMW,525I,PETROL,GERMANY,ROTORUA DISTRICT,2006,WBANE52080C
GREEN,STATION WAGON,1998,2008,6,1890,TOYOTA,VISTA,PETROL,JAPAN,DUNEDIN CITY,1999,7A8H6160708
SILVER,CONVERTIBLE,2970,2006,8,1450,BMW,Z3,PETROL,GERMANY,TIMARU DISTRICT,2002,WBACN52000L
GREEN,SALOON,1500,1995,2,0,HONDA,CIVIC,PETROL,JAPAN,CLUTHA DISTRICT,1994,7A3EG8520RN
GREEN,SALOON,3900,1990,5,0,FORD,FALCON,PETROL,AUSTRALIA,TASMAN DISTRICT,1990,6FPAAAJG23K
SILVER,STATION WAGON,1790,2015,11,1735,AUDI,A3,PETROL,GERMANY,CHRISTCHURCH CITY,2008,WAUZZZ8P98A
GREEN,HATCHBACK,1490,2015,8,1415,NISSAN,TIIDA,PETROL,JAPAN,AUCKLAND,2006,7AT0DH78X15
BLACK,UTILITY,5720,2015,11,2785,CHEVROLET,C1500,PETROL,UNITED STATES,LOWER HUTT CITY,1995,1GCEC19K1RE
RED,HATCHBACK,1998,2015,12,1840,MAZDA,MAZDA3,PETROL,JAPAN,PALMERSTON NORTH CITY,2015,JM0BM547810
WHITE,CARAVAN,0,2015,2,1000,ZEPHYR,RETRO,0,NEW ZEALAND,CHRISTCHURCH CITY,1965,0
SILVER,HATCHBACK,3180,2015,12,1865,VOLKSWAGEN,GOLF,PETROL,GERMANY,CHRISTCHURCH CITY,2007,WVWZZZ1KZ7W
WHITE,SELF PROPELLED CARAVAN,2287,2015,12,3500,FIAT,DUCATO,DIESEL,UNITED KINGDOM,TIMARU DISTRICT,2015,ZFA25000002
BLACK,LIGHT VAN,2497,2013,7,3160,HYUNDAI,ILOAD,DIESEL,SOUTH KOREA,NEW PLYMOUTH DISTRICT,2013,KMFWBX7KLDU
BLACK,FLAT-DECK TRAILER,0,2015,12,0,TRAILER,CAR TRANSPORT,0,NEW ZEALAND,WAIKATO DISTRICT,1998,0
WHITE,STATION WAGON,1990,2014,3,1695,HONDA,CRV,PETROL,JAPAN,SELWYN DISTRICT,2004,7AT08G7HX14
RED,DOMESTIC TRAILER,0,1976,7,1999,TRAILER,TRAILER,0,NOT KNOWN,MARLBOROUGH DISTRICT,1968,0
BLUE,OTHER COMMERCIAL TRAILER,0,1987,6,3499,HOMEBUILT,MISC,0,NEW ZEALAND,GORE DISTRICT,1987,0
BLACK,STATION WAGON,2967,2004,8,2089,MAZDA,TRIBUTE,PETROL,JAPAN,AUCKLAND,2004,JM0CU081Y41
WHITE,SELF PROPELLED CARAVAN,2143,2015,12,3490,MERCEDES-BENZ,SPRINTER,DIESEL,GERMANY,AUCKLAND,2015,WDB9066352P
GREEN,SALOON,3564,2014,6,2284,HOLDEN,COMMODORE,PETROL,AUSTRALIA,AUCKLAND,2014,6G1FB5E31EL
BLUE,CONVERTIBLE,1600,1991,1,0,MAZDA,MX5,PETROL,JAPAN,AUCKLAND,1990,JM0NA306100
GREY,DOMESTIC TRAILER,0,1990,8,3499,HOMEBUILT,HOMEBUILT,0,NEW ZEALAND,NELSON CITY,1990,0
GREY,BOAT TRAILER,0,1990,8,3499,HOMEBUILT,V16.50,0,NEW ZEALAND,CHRISTCHURCH CITY,1990,0
SILVER,BOAT TRAILER,0,1990,5,3499,HOMEBUILT,FUNWAY,0,NEW ZEALAND,CARTERTON DISTRICT,1990,0
GREY,STATION WAGON,2997,2015,11,2505,HOLDEN,CAPTIVA,PETROL,SOUTH KOREA,CHRISTCHURCH CITY,2015,KL3CD2659FB
SILVER,HATCHBACK,1490,2015,11,1515,MAZDA,AXELA,PETROL,JAPAN,AUCKLAND,2006,7AT0C13JX15
GOLD,SALOON,1997,2015,11,1495,NISSAN,BLUEBIRD,PETROL,JAPAN,CHRISTCHURCH CITY,2006,7AT0DH1EX15
SILVER,STATION WAGON,2350,2015,11,1795,HONDA,CRV,PETROL,JAPAN,WESTERN BAY OF PLENTY DISTRICT,2006,7AT08G7HX15
SILVER,UTILITY,2982,2012,11,2780,TOYOTA,HILUX,DIESEL,THAILAND,MASTERTON DISTRICT,2012,MR0FZ29GX01
SILVER,HATCHBACK,1396,2015,11,1565,HYUNDAI,I20,PETROL,INDIA,HOROWHENUA DISTRICT,2015,MALBB51CMGM
SILVER,DOMESTIC TRAILER,0,2010,12,0,BRIFORD,8X4,0,NEW ZEALAND,GREY DISTRICT,2010,0
RED,SALOON,6388,2009,12,0,FORD,GALAXIE,PETROL,UNITED STATES,CHRISTCHURCH CITY,1964,7AT06G0WX09
WHITE,HATCHBACK,1331,2002,3,0,TOYOTA,STARLET,PETROL,JAPAN,ROTORUA DISTRICT,1994,7A8H6110702
RED,MOTORCYCLE,498,2009,2,0,KAWASAKI,EN,PETROL,JAPAN,HAMILTON CITY,2009,JKAENVC169A
SILVER,STATION WAGON,2384,2013,5,2291,HOLDEN,CAPTIVA,PETROL,SOUTH KOREA,SELWYN DISTRICT,2013,KL3CA26UJCB
BLUE,SALOON,5408,2006,10,2100,FORD,FALCON,PETROL,AUSTRALIA,TAURANGA CITY,2006,6FPAAAJGSW5
GREEN,SALOON,1974,1990,1,0,NISSAN,BLUEBIRD,PETROL,JAPAN,WAIPA DISTRICT,1989,0
GREEN,HATCHBACK,1240,2009,12,1215,NISSAN,MARCH,PETROL,JAPAN,AUCKLAND,2004,7A8DH0K0709
BLACK,STATION WAGON,1998,2010,12,1595,TOYOTA,CALDINA,PETROL,JAPAN,AUCKLAND,2002,7AT0H624X10
WHITE,STATION WAGON,2477,2010,1,2710,MITSUBISHI,CHALLENGER,DIESEL,THAILAND,WHANGAREI DISTRICT,2010,MMAGYKH40AF
RED,HATCHBACK,1498,1999,4,1393,MAZDA,DEMIO,PETROL,JAPAN,RANGITIKEI DISTRICT,1999,JM0DW105100
SILVER,BOAT TRAILER,0,2015,12,0,TRAILER,KINGFISHER,0,NEW ZEALAND,TAURANGA CITY,2015,0
SILVER,DOMESTIC TRAILER,0,2015,12,0,TRAILER,ELITE,0,NEW ZEALAND,MARLBOROUGH DISTRICT,2015,0
BLACK,STATION WAGON,3456,2014,6,2740,TOYOTA,HIGHLANDER,PETROL,UNITED STATES,AUCKLAND,2014,5TDBK3FH30S
BLACK,MOTORCYCLE,942,2010,1,0,YAMAHA,XVS950,PETROL,JAPAN,TAURANGA CITY,2010,JYAVN022X9A
RED,STATION WAGON,2494,2015,12,2150,TOYOTA,RAV4,PETROL,JAPAN,AUCKLAND,2015,JTMRFREVX0D
GREEN,STATION WAGON,3564,2015,4,2229,HOLDEN,COMMODORE,PETROL,AUSTRALIA,HAMILTON CITY,2015,6G1FB8E38FL
BROWN,SALOON,5000,1985,5,0,HOLDEN,CALIAS,PETROL,NOT KNOWN,FAR NORTH DISTRICT,1985,0
RED,STATION WAGON,3311,2004,5,2250,TOYOTA,HIGHLANDER,PETROL,JAPAN,HASTINGS DISTRICT,2004,JTEHP21A600
BLUE,SPORTS CAR,5000,1987,4,0,CHEVROLET,CAMARO,PETROL,UNITED STATES,LOWER HUTT CITY,1987,1G1FP21H7HL
GOLD,DOMESTIC TRAILER,0,1981,10,1999,TRAILER,HOMEMADE,0,NOT KNOWN,NELSON CITY,1981,0
GREY,DOMESTIC TRAILER,0,1981,8,1999,TRAILER,LOCAL,0,NOT KNOWN,TASMAN DISTRICT,1981,0
BLUE,SALOON,2997,2002,11,0,BMW,730I,PETROL,GERMANY,TAURANGA CITY,1994,WBAGF22080D
BLACK,MOTORCYCLE,155,2015,11,0,VESPA,LX150,PETROL,ITALY,TAURANGA CITY,2015,ZAPM6840000
BLACK,STATION WAGON,2480,2015,11,1915,NISSAN,MURANO,PETROL,JAPAN,AUCKLAND,2006,7AT0DH74X15
BLUE,STATION WAGON,1990,2015,11,1615,MAZDA,AXELA,PETROL,JAPAN,NAPIER CITY,2010,7AT0C13JX15
BLUE,DOMESTIC TRAILER,0,1983,9,1999,TRAILER,HOMEMADE,0,NOT KNOWN,WHANGANUI DISTRICT,1983,0
SILVER,STATION WAGON,2356,2015,11,2450,HONDA,ODYSSEY,PETROL,JAPAN,AUCKLAND,2015,JHMRC1850FC
GREY,HATCHBACK,1998,2015,11,1840,MAZDA,MAZDA3,PETROL,JAPAN,AUCKLAND,2015,JM0BM547810
BLUE,SALOON,1998,1991,6,0,TOYOTA,CORONA,PETROL,JAPAN,PALMERSTON NORTH CITY,1990,0
BLUE,STATION WAGON,1830,2004,10,1525,MITSUBISHI,LANCER,PETROL,JAPAN,DUNEDIN CITY,2001,7A8CJ0D0704
WHITE,HATCHBACK,1596,2002,9,1335,NISSAN,PULSAR,PETROL,JAPAN,AUCKLAND,1997,7A8DH0P0702
SILVER,BOAT TRAILER,0,2012,7,0,TRAILER,BOAT,0,NEW ZEALAND,HAURAKI DISTRICT,2012,0
GREY,DOMESTIC TRAILER,0,2015,11,0,TRAILER,DOMESTIC,0,NEW ZEALAND,AUCKLAND,2015,0
BLACK,SALOON,2967,2006,9,0,AUDI,A6,DIESEL,GERMANY,AUCKLAND,2006,WAUZZZ4F56N
RED,STATION WAGON,1248,2014,6,1805,VAUXHALL,COMBO,DIESEL,GERMANY,HOROWHENUA DISTRICT,2009,W0L0XCF2594
SILVER,STATION WAGON,1990,2015,12,1815,BMW,320,PETROL,GERMANY,AUCKLAND,2008,WBAVW72080A
BROWN,DOMESTIC TRAILER,0,1981,12,1999,TRAILER,HOMEMADE,0,NOT KNOWN,QUEENSTOWN-LAKES DISTRICT,1956,0
BLACK,STATION WAGON,1990,2005,10,1710,MITSUBISHI,RVR,PETROL,JAPAN,SOUTHLAND DISTRICT,1994,7A8CJ1K0705
RED,STATION WAGON,3456,2015,11,2740,TOYOTA,HIGHLANDER,PETROL,UNITED STATES,AUCKLAND,2015,5TDBK3FH80S
BLUE,STATION WAGON,3456,2015,11,2740,TOYOTA,HIGHLANDER,PETROL,UNITED STATES,AUCKLAND,2015,5TDBK3FH90S
WHITE,HATCHBACK,2260,2015,11,1575,MAZDA,AXELA,PETROL,JAPAN,WAITAKI DISTRICT,2007,7AT0C13JX15
SILVER,SALOON,2990,2015,11,1805,TOYOTA,MARKX,PETROL,JAPAN,AUCKLAND,2005,7AT0H64TX15
BLUE,OTHER COMMERCIAL TRAILER,0,1965,8,3499,TRAILER,CYCLONE,0,NOT KNOWN,INVERCARGILL CITY,1965,0
GREY,BOAT TRAILER,0,2006,2,0,VOYAGER,BOAT TRAILER,0,NEW ZEALAND,INVERCARGILL CITY,2006,0
WHITE,CARAVAN,0,1976,11,1999,ALPHA,0,0,NOT KNOWN,AUCKLAND,1976,0
SILVER,HATCHBACK,1320,2015,11,1295,SUZUKI,SWIFT,PETROL,JAPAN,AUCKLAND,2006,7AT0GK0CX15
SILVER,SALOON,1480,2003,11,1365,MAZDA,FAMILIA,PETROL,JAPAN,CHRISTCHURCH CITY,1994,7A8C10H0703
SILVER,SALOON,3984,2006,4,2100,FORD,FALCON,PETROL,AUSTRALIA,ROTORUA DISTRICT,2006,6FPAAAJGSW6
SILVER,FLAT-DECK TRAILER,0,2012,2,0,TRAILER,LIFT-X,0,NEW ZEALAND,CHRISTCHURCH CITY,2012,0
GREY,SALOON,1991,1992,9,0,MAZDA,626,PETROL,JAPAN,CHRISTCHURCH CITY,1992,0
BLUE,DOMESTIC TRAILER,0,1969,8,1999,TRAILER,0,0,NOT KNOWN,WAIMAKARIRI DISTRICT,1969,0
GREY,BOAT TRAILER,0,2015,12,0,TRAILER,FACTORY BUILT,0,NEW ZEALAND,AUCKLAND,2015,0
SILVER,DOMESTIC TRAILER,0,2015,12,0,BRIFORD,8X4,0,NEW ZEALAND,CHRISTCHURCH CITY,2015,0
WHITE,CARAVAN,0,2015,11,0,CARAVAN,PLATINUM,0,NEW ZEALAND,SOUTHLAND DISTRICT,2015,0
SILVER,DOMESTIC TRAILER,0,2015,11,0,TRAILER,HOME BUILT,0,NEW ZEALAND,CHRISTCHURCH CITY,2015,0
BLUE,SALOON,3984,2015,11,2210,FORD,FALCON,PETROL,AUSTRALIA,NELSON CITY,2015,6FPAAAJGSWF
WHITE,OTHER TRUCK,8300,2009,1,24000,IVECO,ACCO,DIESEL,AUSTRALIA,AUCKLAND,2009,6F22523008D
GREY,SALOON,6162,2008,6,0,HOLDEN,COMMODORE,PETROL,AUSTRALIA,HASTINGS DISTRICT,2008,6G1EX55W39L
SILVER,HATCHBACK,1380,2015,12,1415,VOLKSWAGEN,POLO,PETROL,GERMANY,AUCKLAND,2008,WVWZZZ9NZ8U
WHITE,DOMESTIC TRAILER,0,2015,12,0,TRAILER,DIBO,0,BELGIUM,AUCKLAND,2015,0
SILVER,STATION WAGON,1990,2015,12,1885,MAZDA,PREMACY,PETROL,JAPAN,AUCKLAND,2009,7AT0C133X15
SILVER,DOMESTIC TRAILER,0,1987,4,3499,HOMEBUILT,MISC,0,NEW ZEALAND,HOROWHENUA DISTRICT,1987,0
WHITE,LIGHT VAN,1995,2015,12,3000,RENAULT,TRAFIC,DIESEL,FRANCE,AUCKLAND,2015,VF1FLBHBHEY
WHITE,STATION WAGON,4000,2015,12,2545,FORD,EXPLORER,PETROL,UNITED STATES,HASTINGS DISTRICT,2006,1FMDU73E65Z
RED,HATCHBACK,1498,2015,12,1900,FORD,FOCUS,PETROL,THAILAND,CHRISTCHURCH CITY,2015,MPB3XXMXC3F
GREEN,SALOON,1863,1994,1,0,HYUNDAI,LANTRA,PETROL,SOUTH KOREA,MASTERTON DISTRICT,1993,0
BLACK,STATION WAGON,2993,2015,9,2780,BMW,X5,DIESEL,UNITED STATES,CHRISTCHURCH CITY,2015,WBAKS420900
WHITE,STATION WAGON,1968,2015,11,2129,SKODA,OCTAVIA,DIESEL,CZECH REPUBLIC,TAURANGA CITY,2015,TMBMK7NE6G0
SILVER,HATCHBACK,1330,2015,11,1295,MITSUBISHI,COLT,PETROL,JAPAN,AUCKLAND,2006,7AT0CJ0XX15
YELLOW,STATION WAGON,1330,2015,11,1275,HONDA,FIT,PETROL,JAPAN,AUCKLAND,2004,7AT08G2YX15
SILVER,DOMESTIC TRAILER,0,2015,11,0,TRAILER,AAKRON TRAILER,0,NEW ZEALAND,AUCKLAND,2015,0
BLACK,SALOON,2435,2006,11,0,VOLVO,S80,PETROL,SWEDEN,AUCKLAND,2001,YV1TS61P911
GREY,STATION WAGON,1762,2005,8,1505,TOYOTA,CALDINA,PETROL,JAPAN,TIMARU DISTRICT,2000,7A8H6240705
GREY,SALOON,1998,1991,9,0,OPEL,VECTA GLI,PETROL,GERMANY,DUNEDIN CITY,1991,W0L000087MV
SILVER,HATCHBACK,1490,2015,11,1415,NISSAN,TIIDA,PETROL,JAPAN,HAMILTON CITY,2006,7AT0DH78X15
GREY,UTILITY,3198,2015,11,3200,MAZDA,BT-50,DIESEL,THAILAND,LOWER HUTT CITY,2015,MM0UR0YF100
SILVER,HATCHBACK,2480,2015,11,1765,MAZDA,ATENZA,PETROL,JAPAN,WELLINGTON CITY,2008,7AT0C139X15
SILVER,BOAT TRAILER,0,2015,12,0,DMW,PREMIER TANDEM,0,NEW ZEALAND,WAITOMO DISTRICT,2015,0
WHITE,CAB AND CHASSIS ONLY,4461,2011,4,3300,TOYOTA,LANDCRUISER,DIESEL,JAPAN,GISBORNE DISTRICT,2011,JTELV71J400
SILVER,STATION WAGON,2990,2015,12,1785,SUBARU,OUTBACK,PETROL,JAPAN,ROTORUA DISTRICT,2004,7AT0GF16X15
RED,MOTORCYCLE,1247,2015,10,0,HARLEY DAVIDSON,V-ROD,PETROL,UNITED STATES,AUCKLAND,2015,5HD1HPHG2FC
GREY,BOAT TRAILER,0,2015,12,0,TRAILER,APS SEADOO,0,NEW ZEALAND,CENTRAL OTAGO DISTRICT,2015,0
BLACK,HATCHBACK,1390,2013,1,1880,AUDI,A3,PETROL,GERMANY,WELLINGTON CITY,2013,WAUZZZ8P0DA
WHITE,CARAVAN,0,1974,1,3499,FURNWARE,14B,0,NEW ZEALAND,PALMERSTON NORTH CITY,1974,0
WHITE,HATCHBACK,997,2005,3,1135,TOYOTA,VITZ,PETROL,JAPAN,AUCKLAND,2001,7A8H63E0704
WHITE,SALOON,2000,1994,1,0,FORD,TELSTAR,PETROL,JAPAN,TAURANGA CITY,1993,7A5AAASAVNP
GREY,BOAT TRAILER,0,2012,1,0,TRAILER,SEADOO,0,NEW ZEALAND,DUNEDIN CITY,2012,0
WHITE,HATCHBACK,989,2006,1,0,TOYOTA,DUET,PETROL,JAPAN,HASTINGS DISTRICT,1998,7A8H63L0706
BLACK,MOTORCYCLE,805,2005,9,0,KAWASAKI,VN,PETROL,JAPAN,GORE DISTRICT,2005,JKBVNCB135A
RED,UTILITY,5737,2003,10,2275,HOLDEN,UTE,PETROL,AUSTRALIA,PALMERSTON NORTH CITY,2003,6G1YK42FX3L
WHITE,MOTORCYCLE,300,2015,12,0,HONDA,CB,PETROL,JAPAN,AUCKLAND,2015,MLHNC52U8F5
SILVER,SPORTS CAR,2568,2015,9,1830,NISSAN,SKYLINE,PETROL,JAPAN,AUCKLAND,1995,7AT0DH12X15
CREAM,SALOON,4100,1988,11,0,OLDSMOBILE,CUTLUS SUPREME,PETROL,UNITED STATES,HAMILTON CITY,1984,0
WHITE,CARAVAN,0,1976,10,1999,SPRITE,HARDTOP,0,NOT KNOWN,CHRISTCHURCH CITY,1976,0
BLACK,DOMESTIC TRAILER,0,2001,1,1999,TRAILER,HOMEMADE,0,NEW ZEALAND,INVERCARGILL CITY,2001,0
WHITE,STATION WAGON,2480,2015,11,2140,NISSAN,PRESEA,PETROL,JAPAN,AUCKLAND,2004,7AT0DH6HX15
BLUE,STATION WAGON,2488,2015,9,2071,MAZDA,CX-5,PETROL,JAPAN,WHAKATANE DISTRICT,2015,JM0KE103200
ORANGE,SPORTS CAR,1998,2015,11,1700,TOYOTA,86,PETROL,JAPAN,TASMAN DISTRICT,2015,JF1ZN6K72GG
GREEN,FLAT-DECK TRAILER,0,2015,12,0,TRAILER,WOODSPLITTER,0,NEW ZEALAND,NAPIER CITY,2015,0
BLACK,STATION WAGON,2360,2015,12,2210,TOYOTA,ALPHARD,PETROL,JAPAN,RANGITIKEI DISTRICT,2004,7AT0H64EX15
WHITE,OTHER TRUCK,2998,2013,9,5995,MITSUBISHI FUSO,CANTER,DIESEL,JAPAN,AUCKLAND,2013,JLFFEB51E0K
PURPLE,STATION WAGON,2350,2014,10,2015,HONDA,ODYSSEY,PETROL,JAPAN,AUCKLAND,2005,7AT08G61X14
RED,HATCHBACK,1298,2002,4,1185,SUZUKI,CULTUS,PETROL,JAPAN,AUCKLAND,1995,7A8GK010702
GREY,SELF PROPELLED CARAVAN,4160,2003,12,5400,NISSAN,CIVILIAN,DIESEL,JAPAN,TAUPO DISTRICT,1995,7A8DH071003
SILVER,DOMESTIC TRAILER,0,2015,11,0,TRAILER,GIBBONS,0,NEW ZEALAND,HAMILTON CITY,2015,0
YELLOW,OTHER COMMERCIAL TRAILER,0,2015,12,26000,FRUEHAUF,NZ,0,NEW ZEALAND,CHRISTCHURCH CITY,2015,7A9PSK3SX5F
GREY,DOMESTIC TRAILER,0,2015,10,2500,TRAILER,RANGER,0,CHINA,ROTORUA DISTRICT,2015,0
WHITE,MOTORCYCLE,660,2015,12,0,TRIUMPH,STREET TRIPLE,PETROL,UNITED KINGDOM,AUCKLAND,2015,SMTTTL70A6G
GOLD,STATION WAGON,2498,2015,12,2100,SUBARU,OUTBACK,PETROL,JAPAN,AUCKLAND,2015,JF2BS9KC2FG
GREEN,TRACTOR,7600,2015,12,6500,JOHN DEERE,7800,DIESEL,UNITED STATES,AUCKLAND,1994,0
BLUE,STATION WAGON,2660,2000,4,2035,NISSAN,MISTRAL,DIESEL,JAPAN,MATAMATA-PIAKO DISTRICT,1996,7A8DH4J0799
SILVER,UTILITY,3198,2015,11,3200,FORD,RANGER,DIESEL,THAILAND,AUCKLAND,2015,MNAUMFF50FW
SILVER,DOMESTIC TRAILER,0,2006,3,0,PINTO,TILT 8X5 TRAILER,0,NEW ZEALAND,AUCKLAND,2006,0
ORANGE,STATION WAGON,1364,2015,12,1827,HOLDEN,TRAX,PETROL,SOUTH KOREA,WELLINGTON CITY,2015,KL3BA7689GB
WHITE,LIGHT VAN,2980,2015,12,3255,TOYOTA,HIACE,DIESEL,JAPAN,AUCKLAND,2010,7AT0H60FX15
BROWN,STATION WAGON,1590,2010,11,1380,BMW,MINI,PETROL,GERMANY,AUCKLAND,2003,WMWRC32020T
WHITE,HATCHBACK,1990,2015,8,1555,MAZDA,AXELA,PETROL,JAPAN,TAURANGA CITY,2006,7AT0C13JX15
WHITE,OTHER COMMERCIAL TRAILER,0,2010,4,0,TRAILER,FURNITURE BOX,0,NEW ZEALAND,MASTERTON DISTRICT,1999,0
ORANGE,HATCHBACK,1490,2011,5,0,MAZDA,DEMIO,PETROL,JAPAN,HASTINGS DISTRICT,2002,7AT0C12HX11
RED,STATION WAGON,1951,2005,9,0,LAND ROVER,FREELANDER,DIESEL,UNITED KINGDOM,QUEENSTOWN-LAKES DISTRICT,2001,SALLNAAE71A
SILVER,SALOON,2490,2015,12,1795,NISSAN,TEANA,PETROL,JAPAN,AUCKLAND,2010,7AT0DH71X15
ORANGE,SALOON,3984,2010,11,2250,FORD,FALCON,PETROL,AUSTRALIA,WHANGAREI DISTRICT,2010,6FPAAAJGSWA
SILVER,HATCHBACK,1597,1999,11,1072,NISSAN,PULSAR,PETROL,JAPAN,AUCKLAND,1999,JN1FCAN15A0
SILVER,UTILITY,3198,2015,12,3200,FORD,RANGER,DIESEL,THAILAND,PORIRUA CITY,2015,MNAUMFF50FW
BLACK,MOTORCYCLE,1440,2011,1,0,HARLEY DAVIDSON,FLSTF,PETROL,UNITED STATES,HAMILTON CITY,2004,5HD1BMY194Y
YELLOW,MOTORCYCLE,49,2004,9,0,HONDA,NVS,PETROL,JAPAN,TIMARU DISTRICT,2002,7A88GAF1103
SILVER,HATCHBACK,1339,2011,8,0,HONDA,JAZZ,PETROL,JAPAN,PORIRUA CITY,2011,JHMGE6850CS
WHITE,LIGHT VAN,1990,2015,12,3075,TOYOTA,HIACE,PETROL,JAPAN,AUCKLAND,2005,7AT0H60FX15
YELLOW,OTHER COMMERCIAL TRAILER,0,1996,9,0,HOMEBUILT,BANDIT 65,0,UNITED STATES,WAIPA DISTRICT,1996,0
WHITE,STATION WAGON,1600,1988,8,0,NISSAN,SENTRA,PETROL,JAPAN,TIMARU DISTRICT,1988,0
SILVER,STATION WAGON,1994,2000,6,0,SUBARU,LEGACY,PETROL,JAPAN,AUCKLAND,2000,7A8GF0B0700
SILVER,BOAT TRAILER,0,2008,6,0,TRAILER,BOAT,0,NEW ZEALAND,AUCKLAND,2008,0
WHITE,HATCHBACK,1600,1991,12,0,FORD,LASER,PETROL,JAPAN,MATAMATA-PIAKO DISTRICT,1991,0
BLACK,MOTORCYCLE,49,2015,11,0,PGO,PMX,PETROL,TAIWAN,TAURANGA CITY,2015,RFVPMMS21F1
GREY,BOAT TRAILER,0,2015,12,0,TRAILER,JETSKI,0,NEW ZEALAND,THAMES-COROMANDEL DISTRICT,2015,0
GREEN,MOTORCYCLE,398,2005,10,0,KAWASAKI,KLX,PETROL,JAPAN,AUCKLAND,2005,JSKBB111200
WHITE,SELF PROPELLED CARAVAN,3450,2003,3,4900,MAZDA,PARKWAY,DIESEL,JAPAN,CHRISTCHURCH CITY,1991,7A8C1090903
